id,color,title,url,media_id,type_id,year_acquired,year
18436343,939597,"Cut-out, Cut-Paper Devotional Picutre: The Blessed Virgin of Passau, ca. 1750",https://collection.cooperhewitt.org/objects/18436343/,2318802585,35285365,1961,1961
18439013,939597,Greeting Card,https://collection.cooperhewitt.org/objects/18439013/,35371135,35285127,1961,1961
18438939,939597,Greeting Card,https://collection.cooperhewitt.org/objects/18438939/,35371135,35285127,1961,1961
18439019,939597,Greeting Card,https://collection.cooperhewitt.org/objects/18439019/,35371135,35285127,1961,1961
18739205,939597,Greeting Card,https://collection.cooperhewitt.org/objects/18739205/,35371135,35285127,1961,1961
18439027,939597,Greeting Card,https://collection.cooperhewitt.org/objects/18439027/,35371135,35285127,1961,1961
18439011,939597,Greeting Card,https://collection.cooperhewitt.org/objects/18439011/,35371135,35285127,1961,1961
18709887,939597,Fragments,https://collection.cooperhewitt.org/objects/18709887/,35367101,35254679,1961,1961
18452159,F5DF4D,"Sidewall, Passion Flower, 1962",https://collection.cooperhewitt.org/objects/18452159/,35406831,35256475,1964,1962
18452157,F5DF4D,"Sidewall, The True Vine, 1962",https://collection.cooperhewitt.org/objects/18452157/,35406831,35256475,1964,1962
18445301,F5DF4D,"Coat (France), mid- 18th century",https://collection.cooperhewitt.org/objects/18445301/,35402827,35267835,1962,1962
18441427,F5DF4D,"Sample (England), 1962",https://collection.cooperhewitt.org/objects/18441427/,35402927,35268079,1962,1962
18441423,F5DF4D,"Sample (England), 1962",https://collection.cooperhewitt.org/objects/18441423/,35402927,35268079,1962,1962
18689453,F5DF4D,"Poster, Japans Speel-goed [Japanese Toys], 1962",https://collection.cooperhewitt.org/objects/18689453/,35421913,35238163,2000,1962
18445303,F5DF4D,"Waistcoat (France), mid- 18th century",https://collection.cooperhewitt.org/objects/18445303/,35402827,35256965,1962,1962
18471365,F5DF4D,"Sidewall, Homestead, 1962-69",https://collection.cooperhewitt.org/objects/18471365/,35376447,35256475,1969,1962
18443029,939597,"Textile, 1962",https://collection.cooperhewitt.org/objects/18443029/,35402827,35251739,1962,1962
18441973,939597,Woven Example After Jackson (USA),https://collection.cooperhewitt.org/objects/18441973/,35371135,35291377,1962,1962
18443021,939597,"Textile, 1962",https://collection.cooperhewitt.org/objects/18443021/,35402827,35251739,1962,1962
18441417,939597,"Textile (England), 1962",https://collection.cooperhewitt.org/objects/18441417/,35402827,35251739,1962,1962
18441401,939597,"Sample (England), 1962",https://collection.cooperhewitt.org/objects/18441401/,35410677,35268079,1962,1962
18443009,939597,"Textile, 1962",https://collection.cooperhewitt.org/objects/18443009/,35402827,35251739,1962,1962
18669143,939597,"Poster, Paul Marantz / Arata Isozaki: The Language of Light, 1962",https://collection.cooperhewitt.org/objects/18669143/,35419317,35238163,1998,1962
18444877,939597,"Cap Streamer (Belgium), mid-18th century",https://collection.cooperhewitt.org/objects/18444877/,35414465,35284867,1962,1962
18443007,939597,"Textile, 1962",https://collection.cooperhewitt.org/objects/18443007/,35402827,35251739,1962,1962
18718455,939597,"Book Paper, Book paper: Combed marbled pattern, 1962",https://collection.cooperhewitt.org/objects/18718455/,35388769,35291213,1962,1962
18443015,939597,"Textile, 1962",https://collection.cooperhewitt.org/objects/18443015/,35402827,35251739,1962,1962
18443907,939597,"Photostat, Advertisement for a Megalethoscope, Invented by Charles Ponti, 1862-65",https://collection.cooperhewitt.org/objects/18443907/,35475245,35252131,1962,1962
18445927,939597,"Wig Stand, 18th century",https://collection.cooperhewitt.org/objects/18445927/,35411369,772987121,1962,1962
18444069,939597,Textile,https://collection.cooperhewitt.org/objects/18444069/,122005,35251739,1962,1962
18678625,939597,"Sample, Milbak, 1962",https://collection.cooperhewitt.org/objects/18678625/,35402927,35268079,1969,1962
18442951,939597,"Textile, 1962",https://collection.cooperhewitt.org/objects/18442951/,35402827,35251739,1962,1962
18445847,939597,Print (France),https://collection.cooperhewitt.org/objects/18445847/,35371135,35236873,1962,1962
18441787,939597,"Print, Fashion Plate, 1851",https://collection.cooperhewitt.org/objects/18441787/,35461723,35236873,1962,1962
18636251,939597,"Samples (Japan), mid-1960s",https://collection.cooperhewitt.org/objects/18636251/,35402827,35255211,1991,1962
18442945,939597,"Textile, 1962",https://collection.cooperhewitt.org/objects/18442945/,35402827,35251739,1962,1962
18444617,939597,"Fragment (Italy), 17th century",https://collection.cooperhewitt.org/objects/18444617/,35414465,35254623,1962,1962
18444725,939597,"Border (Italy), early 18th century",https://collection.cooperhewitt.org/objects/18444725/,35414465,35237285,1962,1962
18445305,939597,Man's Coat (France),https://collection.cooperhewitt.org/objects/18445305/,35402827,35270705,1962,1962
18718459,939597,"Book Paper, Book paper: Combed marbled pattern, 1962",https://collection.cooperhewitt.org/objects/18718459/,35388773,35291213,1962,1962
18444649,939597,"Cap Streamers (France), late 17th-early 18th century",https://collection.cooperhewitt.org/objects/18444649/,35414465,35287503,1962,1962
18441429,939597,"Sample (England), 1962",https://collection.cooperhewitt.org/objects/18441429/,35402927,35268079,1962,1962
18442939,939597,Ticket,https://collection.cooperhewitt.org/objects/18442939/,35371135,35289353,1962,1962
18444485,939597,"Band (Italy), 1650-1700",https://collection.cooperhewitt.org/objects/18444485/,35414465,35254631,1962,1962
18441761,939597,"Print, Fashion Plate from Le Monde Elégant, 1871",https://collection.cooperhewitt.org/objects/18441761/,2318802607,35236873,1962,1962
18441805,939597,"Print, Fashion Plate from Le Moniteur de la Mode, 1882",https://collection.cooperhewitt.org/objects/18441805/,35461723,35236873,1962,1962
18442377,939597,Greeting Card,https://collection.cooperhewitt.org/objects/18442377/,35371135,35285127,1962,1962
18444811,939597,"Border (Spain), late 18th century",https://collection.cooperhewitt.org/objects/18444811/,85005651,35237285,1962,1962
18445941,939597,"Salt Cellar (France), 18th century",https://collection.cooperhewitt.org/objects/18445941/,35411369,35304155,1962,1962
